0 qid:17473 1:0.2222222222222222 2:0.2222222222222222 3:0.0011223344556677889 4:1 5:0.00505050505050505 6:0 7:0 8:0 9:0.0 10:6.90783860884 11:0.09090909090909091 #EaPyMdITiR8
0 qid:2324 1:0.06060606060606061 2:0.06060606060606061 3:2.2956841138659323e-05 4:1 5:0.00037878787878787884 6:0 7:0 8:0 9:0.0 10:7.1955206813 11:0.125 #_pkXMGCDBpw
0 qid:8890 1:0.06060606060606061 2:0.06060606060606061 3:0.00015304560759106213 4:1 5:0.002525252525252525 6:0 7:0 8:0 9:0.0 10:8.00645089751 11:0.3333333333333333 #_pkXMGCDBpw
0 qid:4541 1:0.06060606060606061 2:0.06060606060606061 3:1.2003577065965659e-05 4:1 5:0.00019805902158843335 6:0 7:0 8:0 9:0.0 10:6.50237350074 11:0.058823529411764705 #_pkXMGCDBpw
0 qid:766 1:0.06060606060606061 2:0.06060606060606061 3:4.637745684577641e-06 4:1 5:7.652280379553107e-05 6:0 7:0 8:0 9:0.0 10:5.18805263924 11:0.015151515151515152 #_pkXMGCDBpw
0 qid:143 1:0.15384615384615385 2:0.15384615384615385 3:2.94386057876299e-05 4:1 5:0.00019135093761959434 6:0 7:0 8:0 9:0.0 10:5.17323755346 11:0.014925373134328358 #MHvZFSZL8yw
0 qid:4415 1:0.15384615384615385 2:0.15384615384615385 3:0.00016436554898093363 4:1 5:0.0010683760683760685 6:0 7:0 8:0 9:0.0 10:6.44830627947 11:0.05555555555555555 #MHvZFSZL8yw
0 qid:11439 1:0.11538461538461539 2:0.11538461538461539 3:0.00014792899408284027 4:1 5:0.001282051282051282 6:0 7:0 8:0 9:0.0 10:7.44683510958 11:0.16666666666666666 #MHvZFSZL8yw
0 qid:2877 1:0.11538461538461539 2:0.11538461538461539 3:0.00027736686390532545 4:1 5:0.002403846153846154 6:0 7:0 8:0 9:0.0 10:7.7833073462 11:0.25 #MHvZFSZL8yw
0 qid:2171 1:0.07692307692307693 2:0.07692307692307693 3:4.10913872452334e-05 4:1 5:0.0005341880341880341 6:0 7:0 8:0 9:0.0 10:6.82779590117 11:0.08333333333333333 #MHvZFSZL8yw
1 qid:2581 1:1.0 2:1.0 3:0.010416666666666666 4:1 5:0.010416666666666666 6:2 7:2.495003006861588 8:2 9:2.495003006861588 10:6.17386943376 11:0.041666666666666664 #V0yPWDxqyEk
0 qid:871 1:0.7073170731707317 2:0.7073170731707317 3:6.117601393969311e-05 4:1 5:8.64902266043937e-05 6:0 7:0 8:0 9:0.0 10:4.43691820103 11:0.0070921985815602835 #rESEqTO8Lbg
0 qid:959 1:0.6097560975609756 2:0.6097560975609756 3:8.697134468135437e-05 4:1 5:0.0001426330052774212 6:0 7:0 8:0 9:0.0 10:5.33230224809 11:0.017543859649122806 #rESEqTO8Lbg
0 qid:4181 1:0.5853658536585366 2:0.5853658536585366 3:5.8513180093816135e-05 4:1 5:9.996001599360257e-05 6:0 7:0 8:0 9:0.0 10:5.26561087359 11:0.01639344262295082 #rESEqTO8Lbg
0 qid:8225 1:0.07317073170731707 2:0.07317073170731707 3:2.9994151140527596e-06 4:1 5:4.099200655872105e-05 6:0 7:0 8:0 9:0.0 10:4.60525351585 11:0.008403361344537815 #rESEqTO8Lbg
0 qid:4676 1:0.04878048780487805 2:0.04878048780487805 3:1.8026787806680727e-05 4:1 5:0.0003695491500369549 6:0 7:0 8:0 9:0.0 10:6.90783860884 11:0.09090909090909091 #rESEqTO8Lbg
0 qid:314 1:0.2 2:0.2 3:0.00031250000000000006 4:1 5:0.0015625 6:0 7:0 8:0 9:0.0 10:5.89623769716 11:0.03125 #2X6AVQIC__8
1 qid:359 1:0.15 2:0.15 3:7.978723404255319e-05 4:1 5:0.0005319148936170213 6:1 7:1.1561628282901595 8:1 9:1.1561628282901595 10:5.52154424772 11:0.02127659574468085 #RMm2FZnksQc
0 qid:3785 1:0.1 2:0.1 3:0.00011904761904761905 4:1 5:0.0011904761904761904 6:0 7:0 8:0 9:0.0 10:6.68469505753 11:0.07142857142857142 #RMm2FZnksQc
0 qid:2477 1:0.1 2:0.1 3:0.00031250000000000006 4:1 5:0.003125 6:0 7:0 8:0 9:0.0 10:8.29413296996 11:0.5 #RMm2FZnksQc
0 qid:47164 1:0.1 2:0.1 3:0.0002380952380952381 4:1 5:0.0023809523809523807 6:0 7:0 8:0 9:0.0 10:8.00645089751 11:0.3333333333333333 #RMm2FZnksQc
0 qid:3735 1:0.1 2:0.1 3:7.352941176470589e-05 4:1 5:0.0007352941176470588 6:0 7:0 8:0 9:0.0 10:6.50237350074 11:0.058823529411764705 #RMm2FZnksQc
0 qid:10969 1:0.1 2:0.1 3:0.00020000000000000006 4:1 5:0.0020000000000000005 6:0 7:0 8:0 9:0.0 10:7.6009857894 11:0.2 #RMm2FZnksQc
0 qid:9177 1:0.1 2:0.1 3:0.00020833333333333337 4:1 5:0.0020833333333333333 6:0 7:0 8:0 9:0.0 10:7.7833073462 11:0.25 #RMm2FZnksQc
1 qid:4292 1:0.6111111111111112 2:0.6111111111111112 3:0.0013057929724596391 4:1 5:0.002136752136752137 6:2 7:2.495003006861588 8:3 9:3.6511658351517475 10:6.75368792902 11:0.07692307692307693 #rDHIo0lqbSM
0 qid:1850 1:0.3333333333333333 2:0.3333333333333333 3:0.00020576131687242793 4:1 5:0.0006172839506172838 6:0 7:0 8:0 9:0.0 10:5.95875805415 11:0.03333333333333333 #rDHIo0lqbSM
0 qid:2950 1:0.1111111111111111 2:0.1111111111111111 3:2.8058361391694722e-05 4:1 5:0.0002525252525252525 6:0 7:0 8:0 9:0.0 10:5.3673935679 11:0.01818181818181818 #rDHIo0lqbSM
0 qid:871 1:0.1111111111111111 2:0.1111111111111111 3:6.2541433699826125e-06 4:1 5:5.628729032984351e-05 6:0 7:0 8:0 9:0.0 10:4.43691820103 11:0.0070921985815602835 #rDHIo0lqbSM
0 qid:874 1:0.1111111111111111 2:0.1111111111111111 3:1.959631589261219e-05 4:1 5:0.0001763668430335097 6:0 7:0 8:0 9:0.0 10:5.23386217527 11:0.015873015873015872 #rDHIo0lqbSM
0 qid:1489 1:0.1111111111111111 2:0.1111111111111111 3:2.7073857483214205e-05 4:1 5:0.00024366471734892786 6:0 7:0 8:0 9:0.0 10:5.7291836125 11:0.02631578947368421 #rDHIo0lqbSM
0 qid:1618 1:0.1111111111111111 2:0.1111111111111111 3:1.7944300890037322e-05 4:1 5:0.0001614987080103359 6:0 7:0 8:0 9:0.0 10:5.60855562471 11:0.023255813953488372 #rDHIo0lqbSM
0 qid:207 1:0.42857142857142855 2:0.42857142857142855 3:0.0017006802721088433 4:1 5:0.003968253968253968 6:0 7:0 8:0 9:0.0 10:6.44830627947 11:0.05555555555555555 #Jux0vTryZ9Y
0 qid:1955 1:0.2857142857142857 2:0.2857142857142857 3:0.006802721088435373 4:1 5:0.023809523809523808 6:0 7:0 8:0 9:0.0 10:8.29413296996 11:0.5 #Jux0vTryZ9Y
0 qid:5207 1:0.2857142857142857 2:0.2857142857142857 3:0.00510204081632653 4:1 5:0.017857142857142856 6:0 7:0 8:0 9:0.0 10:8.29413296996 11:0.5 #Jux0vTryZ9Y
0 qid:14861 1:0.6 2:0.6 3:0.012 4:1 5:0.020000000000000004 6:0 7:0 8:0 9:0.0 10:7.6009857894 11:0.2 #Tb1RNAcRsBk
0 qid:472 1:0.125 2:0.125 3:0.00021701388888888888 4:1 5:0.001736111111111111 6:0 7:0 8:0 9:0.0 10:7.09016016564 11:0.1111111111111111 #Tb1RNAcRsBk
0 qid:1675 1:0.125 2:0.125 3:0.00020032051282051281 4:1 5:0.0016025641025641025 6:0 7:0 8:0 9:0.0 10:6.75368792902 11:0.07692307692307693 #Tb1RNAcRsBk
1 qid:340 1:0.125 2:0.125 3:9.191176470588235e-05 4:1 5:0.0007352941176470588 6:0 7:0 8:0 9:0.0 10:6.50237350074 11:0.058823529411764705 #Tb1RNAcRsBk
0 qid:6701 1:1.0 2:1.0 3:0.027777777777777776 4:1 5:0.027777777777777776 6:0 7:0 8:0 9:0.0 10:7.44683510958 11:0.16666666666666666 #Ubs8DD6tflU
0 qid:2794 1:0.6666666666666666 2:0.6666666666666666 3:0.007407407407407406 4:1 5:0.01111111111111111 6:0 7:0 8:0 9:0.0 10:6.99484998583 11:0.1 #Ubs8DD6tflU
0 qid:8860 1:0.17647058823529413 2:0.17647058823529413 3:0.00017301038062283736 4:1 5:0.000980392156862745 6:0 7:0 8:0 9:0.0 10:6.62015653639 11:0.06666666666666667 #Ubs8DD6tflU
0 qid:18829 1:0.11764705882352941 2:0.11764705882352941 3:0.00046136101499423304 4:1 5:0.00392156862745098 6:0 7:0 8:0 9:0.0 10:8.00645089751 11:0.3333333333333333 #Ubs8DD6tflU
0 qid:2807 1:0.11764705882352941 2:0.11764705882352941 3:0.00023068050749711647 4:1 5:0.00196078431372549 6:0 7:0 8:0 9:0.0 10:7.6009857894 11:0.2 #Ubs8DD6tflU
0 qid:8249 1:0.14285714285714285 2:0.14285714285714285 3:0.0006377551020408163 4:1 5:0.004464285714285714 6:0 7:0 8:0 9:0.0 10:7.7833073462 11:0.25 #5T6tTSIZrRQ
0 qid:404 1:0.10714285714285714 2:0.10714285714285714 3:4.55539358600583e-05 4:1 5:0.0004251700680272108 6:0 7:0 8:0 9:0.0 10:6.02544942864 11:0.03571428571428571 #5T6tTSIZrRQ
0 qid:11812 1:0.07142857142857142 2:0.07142857142857142 3:7.971938775510203e-05 4:1 5:0.0011160714285714285 6:0 7:0 8:0 9:0.0 10:7.1955206813 11:0.125 #5T6tTSIZrRQ
0 qid:82957 1:0.07142857142857142 2:0.07142857142857142 3:0.0001822157434402332 4:1 5:0.002551020408163265 6:0 7:0 8:0 9:0.0 10:8.29413296996 11:0.5 #5T6tTSIZrRQ
0 qid:1428 1:0.07142857142857142 2:0.07142857142857142 3:8.503401360544216e-05 4:1 5:0.0011904761904761904 6:0 7:0 8:0 9:0.0 10:7.6009857894 11:0.2 #5T6tTSIZrRQ
0 qid:5621 1:0.07142857142857142 2:0.07142857142857142 3:7.971938775510203e-05 4:1 5:0.0011160714285714285 6:0 7:0 8:0 9:0.0 10:7.7833073462 11:0.25 #5T6tTSIZrRQ
0 qid:3647 1:0.07142857142857142 2:0.07142857142857142 3:8.503401360544217e-05 4:1 5:0.0011904761904761906 6:0 7:0 8:0 9:0.0 10:7.44683510958 11:0.16666666666666666 #5T6tTSIZrRQ
1 qid:1403 1:1.5368239355581128 2:2.536823935558113 3:7.91903492018931e-05 4:2 5:9.2756224085338e-05 6:0 7:0 8:0 9:0.0 10:4.95009400214 11:0.011904761904761904 #vmfKZgaN7rs
1 qid:427 1:1.4861910241657077 2:2.4861910241657075 3:0.000126195889731745 4:2 5:0.00015128030498735742 6:0 7:0 8:0 9:0.0 10:5.63154514294 11:0.023809523809523808 #vmfKZgaN7rs
0 qid:1598 1:0.05063291139240506 2:0.05063291139240506 3:4.2165982172222735e-06 4:1 5:8.32778147901399e-05 6:0 7:0 8:0 9:0.0 10:6.39701298508 11:0.05263157894736842 #vmfKZgaN7rs
0 qid:195 1:0.0379746835443038 2:0.0379746835443038 3:2.6705122042407732e-06 4:1 5:7.032348804500702e-05 6:0 7:0 8:0 9:0.0 10:6.44830627947 11:0.05555555555555555 #vmfKZgaN7rs
0 qid:3628 1:0.0379746835443038 2:0.0379746835443038 3:1.2325440942649723e-05 4:1 5:0.0003245699448231094 6:0 7:0 8:0 9:0.0 10:8.00645089751 11:0.3333333333333333 #vmfKZgaN7rs
0 qid:143 1:0.0379746835443038 2:0.0379746835443038 3:7.971678221614248e-07 4:1 5:2.0992085983584187e-05 6:0 7:0 8:0 9:0.0 10:5.17323755346 11:0.014925373134328358 #vmfKZgaN7rs
0 qid:12688 1:0.0379746835443038 2:0.0379746835443038 3:8.739858122969805e-06 4:1 5:0.00023014959723820485 6:0 7:0 8:0 9:0.0 10:7.6009857894 11:0.2 #vmfKZgaN7rs
0 qid:12691 1:0.0379746835443038 2:0.0379746835443038 3:1.00144207659029e-05 4:1 5:0.00026371308016877635 6:0 7:0 8:0 9:0.0 10:7.7833073462 11:0.25 #vmfKZgaN7rs
0 qid:4199 1:0.02531645569620253 2:0.02531645569620253 3:1.2047423477777923e-06 4:1 5:4.7587322737222794e-05 6:0 7:0 8:0 9:0.0 10:6.39701298508 11:0.05263157894736842 #vmfKZgaN7rs
0 qid:36205 1:0.02531645569620253 2:0.02531645569620253 3:5.3410244084815465e-06 4:1 5:0.0002109704641350211 6:0 7:0 8:0 9:0.0 10:7.7833073462 11:0.25 #vmfKZgaN7rs
0 qid:2870 1:0.02531645569620253 2:0.02531645569620253 3:1.6690701276504832e-06 4:1 5:6.592827004219409e-05 6:0 7:0 8:0 9:0.0 10:6.82779590117 11:0.08333333333333333 #vmfKZgaN7rs
0 qid:1365 1:0.45454545454545453 2:0.45454545454545453 3:0.001589319771137953 4:1 5:0.003496503496503497 6:0 7:0 8:0 9:0.0 10:6.75368792902 11:0.07692307692307693 #PwSP4vwq9IA
0 qid:369 1:0.18181818181818182 2:0.18181818181818182 3:0.0003240965807810727 4:1 5:0.0017825311942959 6:0 7:0 8:0 9:0.0 10:6.50237350074 11:0.058823529411764705 #PwSP4vwq9IA
0 qid:4244 1:0.18181818181818182 2:0.18181818181818182 3:0.00031786395422759065 4:1 5:0.0017482517482517485 6:0 7:0 8:0 9:0.0 10:6.75368792902 11:0.07692307692307693 #PwSP4vwq9IA
0 qid:7266 1:0.3170731707317073 2:0.3170731707317073 3:0.0001288915328177672 4:1 5:0.0004065040650406504 6:0 7:0 8:0 9:0.0 10:5.95875805415 11:0.03333333333333333 #98VtMXioBDw
0 qid:7395 1:0.14634146341463414 2:0.14634146341463414 3:6.609822195782932e-05 4:1 5:0.00045167118337850043 6:0 7:0 8:0 9:0.0 10:6.44830627947 11:0.05555555555555555 #98VtMXioBDw
0 qid:2366 1:0.0975609756097561 2:0.0975609756097561 3:1.2140489747356409e-05 4:1 5:0.00012444001991040318 6:0 7:0 8:0 9:0.0 10:5.4807222532 11:0.02040816326530612 #98VtMXioBDw
0 qid:3141 1:0.07317073170731707 2:0.07317073170731707 3:2.124585705787371e-05 4:1 5:0.00029036004645760743 6:0 7:0 8:0 9:0.0 10:6.68469505753 11:0.07142857142857142 #98VtMXioBDw
0 qid:1896 1:0.07317073170731707 2:0.07317073170731707 3:3.7180249851278996e-05 4:1 5:0.000508130081300813 6:0 7:0 8:0 9:0.0 10:7.44683510958 11:0.16666666666666666 #98VtMXioBDw
0 qid:1206 1:0.07317073170731707 2:0.07317073170731707 3:3.186878558681057e-05 4:1 5:0.00043554006968641115 6:0 7:0 8:0 9:0.0 10:7.1955206813 11:0.125 #98VtMXioBDw
0 qid:991 1:0.07317073170731707 2:0.07317073170731707 3:7.138607971445569e-06 4:1 5:9.756097560975612e-05 6:0 7:0 8:0 9:0.0 10:5.46091962591 11:0.02 #98VtMXioBDw
0 qid:1760 1:0.04878048780487805 2:0.04878048780487805 3:1.918980637485368e-06 4:1 5:3.933910306845004e-05 6:0 7:0 8:0 9:0.0 10:5.24961053224 11:0.016129032258064516 #98VtMXioBDw
0 qid:2880 1:0.04878048780487805 2:0.04878048780487805 3:6.760045427505273e-06 4:1 5:0.0001385809312638581 6:0 7:0 8:0 9:0.0 10:6.55953191458 11:0.0625 #98VtMXioBDw
0 qid:5171 1:0.04878048780487805 2:0.04878048780487805 3:6.008929268893576e-06 4:1 5:0.0001231830500123183 6:0 7:0 8:0 9:0.0 10:6.2572510427 11:0.045454545454545456 #98VtMXioBDw
0 qid:20091 1:0.04878048780487805 2:0.04878048780487805 3:1.1440076877316617e-05 4:1 5:0.00023452157598499065 6:0 7:0 8:0 9:0.0 10:7.1955206813 11:0.125 #98VtMXioBDw
0 qid:860 1:0.04878048780487805 2:0.04878048780487805 3:4.721301568416381e-06 4:1 5:9.678668215253581e-05 6:0 7:0 8:0 9:0.0 10:6.30170280527 11:0.047619047619047616 #98VtMXioBDw
0 qid:170 1:0.1875 2:0.1875 3:0.00013950892857142856 4:1 5:0.000744047619047619 6:0 7:0 8:0 9:0.0 10:5.63154514294 11:0.023809523809523808 #UWhpO8H8h2E
0 qid:157 1:0.1875 2:0.1875 3:0.00015624999999999998 4:1 5:0.0008333333333333333 6:0 7:0 8:0 9:0.0 10:6.13464872061 11:0.04 #UWhpO8H8h2E
0 qid:4564 1:0.15384615384615385 2:0.15384615384615385 3:0.00019723865877712034 4:1 5:0.001282051282051282 6:0 7:0 8:0 9:0.0 10:6.62015653639 11:0.06666666666666667 #UWhpO8H8h2E
0 qid:4491 1:0.125 2:0.125 3:0.00010850694444444444 4:1 5:0.0008680555555555555 6:0 7:0 8:0 9:0.0 10:6.82779590117 11:0.08333333333333333 #UWhpO8H8h2E
0 qid:368 1:0.125 2:0.125 3:0.0001201923076923077 4:1 5:0.0009615384615384616 6:1 7:1.1561628282901595 8:2 9:2.312325656580319 10:6.75368792902 11:0.07692307692307693 #UWhpO8H8h2E
0 qid:1594 1:0.125 2:0.125 3:0.00010146103896103895 4:1 5:0.0008116883116883116 6:0 7:0 8:0 9:0.0 10:6.90783860884 11:0.09090909090909091 #UWhpO8H8h2E
0 qid:3296 1:0.29411764705882354 2:0.29411764705882354 3:0.0006654245408570669 4:1 5:0.0022624434389140274 6:0 7:0 8:0 9:0.0 10:6.75368792902 11:0.07692307692307693 #XBDMCZ7kqVc
0 qid:4684 1:0.23529411764705882 2:0.23529411764705882 3:0.0002883506343713956 4:1 5:0.0012254901960784314 6:0 7:0 8:0 9:0.0 10:6.55953191458 11:0.0625 #XBDMCZ7kqVc
0 qid:7142 1:0.17647058823529413 2:0.17647058823529413 3:0.00011796162315193459 4:1 5:0.0006684491978609625 6:0 7:0 8:0 9:0.0 10:6.2572510427 11:0.045454545454545456 #XBDMCZ7kqVc
0 qid:3057 1:0.11764705882352941 2:0.11764705882352941 3:6.590871642774756e-05 4:1 5:0.0005602240896358543 6:0 7:0 8:0 9:0.0 10:6.30170280527 11:0.047619047619047616 #XBDMCZ7kqVc
0 qid:2366 1:0.11764705882352941 2:0.11764705882352941 3:2.353882729562413e-05 4:1 5:0.0002000800320128051 6:0 7:0 8:0 9:0.0 10:5.4807222532 11:0.02040816326530612 #XBDMCZ7kqVc
0 qid:1438 1:0.11764705882352941 2:0.11764705882352941 3:6.99031840900353e-05 4:1 5:0.0005941770647653001 6:0 7:0 8:0 9:0.0 10:5.86638473402 11:0.030303030303030304 #yIohlyGdllU
0 qid:1846 1:0.11764705882352941 2:0.11764705882352941 3:0.0002035416242621616 4:1 5:0.0017301038062283738 6:0 7:0 8:0 9:0.0 10:6.50237350074 11:0.058823529411764705 #yIohlyGdllU
0 qid:22781 1:0.2 2:0.2 3:0.005000000000000001 4:1 5:0.025 6:0 7:0 8:0 9:0.0 10:8.29413296996 11:0.5 #elht2Y4gAso
1 qid:8674 1:0.535 2:1.0350000000000001 3:0.0012518750000000002 4:2 5:0.003625 6:1 7:1.3388401785714283 8:1 9:1.3388401785714283 10:6.99484998583 11:0.1 #AxD0jbETBWw
1 qid:1220 1:0.535 2:1.0350000000000001 3:0.0007758547008547009 4:2 5:0.002264957264957265 6:1 7:1.3388401785714283 8:1 9:1.3388401785714283 10:6.75368792902 11:0.07692307692307693 #AxD0jbETBWw
0 qid:11155 1:0.33 2:0.6633333333333333 3:0.0011960714285714285 4:2 5:0.005464285714285714 6:0 7:0 8:0 9:0.0 10:7.7833073462 11:0.25 #AxD0jbETBWw
1 qid:18080 1:0.08 2:0.08 3:5.333333333333333e-05 4:1 5:0.0006666666666666666 6:0 7:0 8:0 9:0.0 10:7.6009857894 11:0.2 #AxD0jbETBWw
0 qid:4366 1:0.08 2:0.08 3:1.616161616161616e-05 4:1 5:0.00020202020202020202 6:0 7:0 8:0 9:0.0 10:6.44830627947 11:0.05555555555555555 #AxD0jbETBWw
1 qid:58622 1:0.3333333333333333 2:0.3333333333333333 3:0.013888888888888888 4:1 5:0.041666666666666664 6:0 7:0 8:0 9:0.0 10:8.29413296996 11:0.5 #VRMxi5_bkrA
0 qid:15540 1:0.10752688172043011 2:0.10752688172043011 3:4.8175126218830694e-05 4:1 5:0.00044802867383512545 6:0 7:0 8:0 9:0.0 10:6.82779590117 11:0.08333333333333333 #zg1Zxy6lJuE
0 qid:1869 1:0.06451612903225806 2:0.06451612903225806 3:7.226268932824604e-06 4:1 5:0.00011200716845878136 6:0 7:0 8:0 9:0.0 10:5.89623769716 11:0.03125 #zg1Zxy6lJuE
0 qid:1868 1:0.043010752688172046 2:0.043010752688172046 3:3.72968719113528e-06 4:1 5:8.671522719389525e-05 6:0 7:0 8:0 9:0.0 10:5.92700935583 11:0.03225806451612903 #zg1Zxy6lJuE
0 qid:453 1:0.03225806451612903 2:0.03225806451612903 3:1.2085745950368676e-06 4:1 5:3.74658124461429e-05 6:0 7:0 8:0 9:0.0 10:5.65507564035 11:0.024390243902439025 #zg1Zxy6lJuE
0 qid:871 1:0.03225806451612903 2:0.03225806451612903 3:4.100010742028144e-07 4:1 5:1.2710033300287246e-05 6:0 7:0 8:0 9:0.0 10:4.43691820103 11:0.0070921985815602835 #zg1Zxy6lJuE
0 qid:1787 1:0.03225806451612903 2:0.03225806451612903 3:4.080716573830365e-06 4:1 5:0.0001265022137887413 6:0 7:0 8:0 9:0.0 10:6.50237350074 11:0.058823529411764705 #zg1Zxy6lJuE
0 qid:5 1:0.021505376344086023 2:0.021505376344086023 3:7.248921813491768e-07 4:1 5:3.3707486432736716e-05 6:0 7:0 8:0 9:0.0 10:5.99154787697 11:0.034482758620689655 #zg1Zxy6lJuE
0 qid:9875 1:0.021505376344086023 2:0.021505376344086023 3:2.3124060585038743e-06 4:1 5:0.00010752688172043013 6:0 7:0 8:0 9:0.0 10:6.99484998583 11:0.1 #zg1Zxy6lJuE
0 qid:24 1:0.021505376344086023 2:0.021505376344086023 3:2.6763959010461495e-07 4:1 5:1.2445240939864594e-05 6:0 7:0 8:0 9:0.0 10:5.78182734599 11:0.027777777777777776 #zg1Zxy6lJuE
0 qid:7070 1:0.021505376344086023 2:0.021505376344086023 3:9.361967848193821e-07 4:1 5:4.353315049410126e-05 6:0 7:0 8:0 9:0.0 10:6.39701298508 11:0.05263157894736842 #zg1Zxy6lJuE
0 qid:3771 1:0.021505376344086023 2:0.021505376344086023 3:1.0510936629563062e-06 4:1 5:4.887585532746823e-05 6:0 7:0 8:0 9:0.0 10:6.90783860884 11:0.09090909090909091 #zg1Zxy6lJuE
0 qid:1870 1:0.021505376344086023 2:0.021505376344086023 3:1.4823115759640215e-06 4:1 5:6.892748828232699e-05 6:0 7:0 8:0 9:0.0 10:6.75368792902 11:0.07692307692307693 #zg1Zxy6lJuE
0 qid:5328 1:0.021505376344086023 2:0.021505376344086023 3:1.3522842447391074e-06 4:1 5:6.288121738036849e-05 6:0 7:0 8:0 9:0.0 10:6.39701298508 11:0.05263157894736842 #zg1Zxy6lJuE
0 qid:2768 1:0.021505376344086023 2:0.021505376344086023 3:3.083208078005165e-07 4:1 5:1.4336917562724016e-05 6:0 7:0 8:0 9:0.0 10:5.46091962591 11:0.02 #zg1Zxy6lJuE
0 qid:4563 1:0.021505376344086023 2:0.021505376344086023 3:4.3795569289846095e-07 4:1 5:2.0364939719778433e-05 6:0 7:0 8:0 9:0.0 10:5.86638473402 11:0.030303030303030304 #zg1Zxy6lJuE
0 qid:852 1:0.021505376344086023 2:0.021505376344086023 3:6.72211063518568e-07 4:1 5:3.125781445361341e-05 6:0 7:0 8:0 9:0.0 10:5.60855562471 11:0.023255813953488372 #zg1Zxy6lJuE
0 qid:14548 1:0.021505376344086023 2:0.021505376344086023 3:1.5213197753314959e-06 4:1 5:7.074136955291455e-05 6:0 7:0 8:0 9:0.0 10:7.1955206813 11:0.125 #zg1Zxy6lJuE
0 qid:467 1:0.021505376344086023 2:0.021505376344086023 3:1.6435011076786593e-07 4:1 5:7.642280150705766e-06 6:0 7:0 8:0 9:0.0 10:5.17323755346 11:0.014925373134328358 #zg1Zxy6lJuE
0 qid:728 1:0.021505376344086023 2:0.021505376344086023 3:7.137055736123066e-07 4:1 5:3.318730917297225e-05 6:0 7:0 8:0 9:0.0 10:6.44830627947 11:0.05555555555555555 #zg1Zxy6lJuE
