0 qid:28215 1:0.2857142857142857 2:0.2857142857142857 3:0.01020408163265306 4:1 5:0.03571428571428571 6:0 7:0 8:0 9:0.0 10:8.29413296996 11:0.5 #abdticS1XXg
0 qid:3141 1:0.03225806451612903 2:0.03225806451612903 3:3.096972399781973e-06 4:1 5:9.600614439324117e-05 6:0 7:0 8:0 9:0.0 10:6.68469505753 11:0.07142857142857142 #7zd7OIACROQ
0 qid:4805 1:0.03225806451612903 2:0.03225806451612903 3:9.096002852506495e-07 4:1 5:2.8197608842770133e-05 6:0 7:0 8:0 9:0.0 10:6.09690839263 11:0.038461538461538464 #7zd7OIACROQ
0 qid:7266 1:0.03225806451612903 2:0.03225806451612903 3:1.1562030292519365e-06 4:1 5:3.5842293906810036e-05 6:0 7:0 8:0 9:0.0 10:5.95875805415 11:0.03333333333333333 #7zd7OIACROQ
0 qid:495 1:0.03225806451612903 2:0.03225806451612903 3:1.8581834398691837e-06 4:1 5:5.76036866359447e-05 6:0 7:0 8:0 9:0.0 10:6.02544942864 11:0.03571428571428571 #7zd7OIACROQ
0 qid:99063 1:0.03225806451612903 2:0.03225806451612903 3:1.9270050487532273e-05 4:1 5:0.0005973715651135006 6:0 7:0 8:0 9:0.0 10:8.00645089751 11:0.3333333333333333 #7zd7OIACROQ
0 qid:2301 1:0.03225806451612903 2:0.03225806451612903 3:2.040358286915182e-06 4:1 5:6.325110689437066e-05 6:0 7:0 8:0 9:0.0 10:6.62015653639 11:0.06666666666666667 #7zd7OIACROQ
0 qid:10111 1:0.03225806451612903 2:0.03225806451612903 3:6.193944799563945e-06 4:1 5:0.0001920122887864823 6:0 7:0 8:0 9:0.0 10:7.7833073462 11:0.25 #7zd7OIACROQ
0 qid:8260 1:0.3 2:0.3 3:0.0008823529411764706 4:1 5:0.0029411764705882353 6:0 7:0 8:0 9:0.0 10:6.50237350074 11:0.058823529411764705 #VeS-DMjvAOE
0 qid:1853 1:0.3 2:0.3 3:0.0006666666666666666 4:1 5:0.0022222222222222222 6:0 7:0 8:0 9:0.0 10:6.62015653639 11:0.06666666666666667 #VeS-DMjvAOE
0 qid:4181 1:0.28368794326241137 2:0.28368794326241137 3:1.6491567449274003e-05 4:1 5:5.8132775258690854e-05 6:0 7:0 8:0 9:0.0 10:5.26561087359 11:0.01639344262295082 #8SNTgOULgrA
0 qid:959 1:0.2695035460992908 2:0.2695035460992908 3:1.1177617937841265e-05 4:1 5:4.1474845506200484e-05 6:0 7:0 8:0 9:0.0 10:5.33230224809 11:0.017543859649122806 #8SNTgOULgrA
0 qid:2720 1:0.20567375886524822 2:0.20567375886524822 3:8.894385005416374e-06 4:1 5:4.324511330219685e-05 6:0 7:0 8:0 9:0.0 10:5.65507564035 11:0.024390243902439025 #8SNTgOULgrA
1 qid:1850 1:0.17182462927143777 2:0.17182462927143777 3:4.196717662292378e-05 4:2 5:0.0003212154275984063 6:0 7:0 8:0 9:0.0 10:5.95875805415 11:0.03333333333333333 #8SNTgOULgrA
0 qid:8225 1:0.11347517730496454 2:0.11347517730496454 3:1.1271547500344132e-06 4:1 5:9.933051234678268e-06 6:0 7:0 8:0 9:0.0 10:4.60525351585 11:0.008403361344537815 #8SNTgOULgrA
1 qid:1854 1:0.11218568665377177 2:0.11218568665377177 3:2.8509618361444522e-05 4:2 5:0.00032797702503882845 6:0 7:0 8:0 9:0.0 10:6.30170280527 11:0.047619047619047616 #8SNTgOULgrA
0 qid:421 1:0.05673758865248227 2:0.05673758865248227 3:3.4392670577973126e-06 4:1 5:6.061708189367764e-05 6:0 7:0 8:0 9:0.0 10:6.75368792902 11:0.07692307692307693 #8SNTgOULgrA
0 qid:874 1:0.05673758865248227 2:0.05673758865248227 3:7.984012812743761e-07 4:1 5:1.407182258246088e-05 6:0 7:0 8:0 9:0.0 10:5.23386217527 11:0.015873015873015872 #8SNTgOULgrA
0 qid:7462 1:0.04964539007092199 2:0.04964539007092199 3:1.853131394957894e-06 4:1 5:3.732736095558044e-05 6:0 7:0 8:0 9:0.0 10:6.39701298508 11:0.05263157894736842 #8SNTgOULgrA
0 qid:13520 1:0.04964539007092199 2:0.04964539007092199 3:3.5565147984040396e-06 4:1 5:7.163836951070993e-05 6:0 7:0 8:0 9:0.0 10:7.09016016564 11:0.1111111111111111 #8SNTgOULgrA
0 qid:873 1:0.0425531914893617 2:0.0425531914893617 3:4.931302031400558e-07 4:1 5:1.1588559773791312e-05 6:0 7:0 8:0 9:0.0 10:5.44150154005 11:0.0196078431372549 #8SNTgOULgrA
0 qid:2442 1:0.03546099290780142 2:0.03546099290780142 3:1.2897251466739922e-06 4:1 5:3.6370249136206584e-05 6:0 7:0 8:0 9:0.0 10:6.75368792902 11:0.07692307692307693 #8SNTgOULgrA
0 qid:8260 1:0.03546099290780142 2:0.03546099290780142 3:1.0567075781572626e-06 4:1 5:2.9799153704034804e-05 6:0 7:0 8:0 9:0.0 10:6.50237350074 11:0.058823529411764705 #8SNTgOULgrA
0 qid:23617 1:0.028368794326241134 2:0.028368794326241134 3:2.958781218840335e-06 4:1 5:0.00010429703796412182 6:0 7:0 8:0 9:0.0 10:7.7833073462 11:0.25 #8SNTgOULgrA
0 qid:852 1:0.028368794326241134 2:0.028368794326241134 3:2.924376786063122e-07 4:1 5:1.0308428170872505e-05 6:0 7:0 8:0 9:0.0 10:5.60855562471 11:0.023255813953488372 #8SNTgOULgrA
0 qid:1157 1:0.02127659574468085 2:0.02127659574468085 3:1.065662727124697e-07 4:1 5:5.0086148174860754e-06 6:0 7:0 8:0 9:0.0 10:5.29840069641 11:0.01694915254237288 #8SNTgOULgrA
0 qid:12936 1:0.02127659574468085 2:0.02127659574468085 3:5.467313121770184e-07 4:1 5:2.5696371672319867e-05 6:0 7:0 8:0 9:0.0 10:6.82779590117 11:0.08333333333333333 #8SNTgOULgrA
0 qid:5396 1:0.02127659574468085 2:0.02127659574468085 3:1.197601921911564e-06 4:1 5:5.628729032984352e-05 6:0 7:0 8:0 9:0.0 10:7.44683510958 11:0.16666666666666666 #8SNTgOULgrA
0 qid:25018 1:0.02127659574468085 2:0.02127659574468085 3:2.286330941831168e-06 4:1 5:0.0001074575542660649 6:0 7:0 8:0 9:0.0 10:8.00645089751 11:0.3333333333333333 #8SNTgOULgrA
0 qid:4292 1:0.02127659574468085 2:0.02127659574468085 3:6.109224378982069e-07 4:1 5:2.8713354581215725e-05 6:0 7:0 8:0 9:0.0 10:6.75368792902 11:0.07692307692307693 #8SNTgOULgrA
0 qid:1509 1:0.02127659574468085 2:0.02127659574468085 3:8.112787212949307e-08 4:1 5:3.8130099900861744e-06 6:0 7:0 8:0 9:0.0 10:4.84945047636 11:0.010752688172043012 #8SNTgOULgrA
0 qid:13598 1:0.014184397163120567 2:0.014184397163120567 3:1.7964028828673462e-06 4:1 5:0.0001266464032421479 6:0 7:0 8:0 9:0.0 10:8.29413296996 11:0.5 #8SNTgOULgrA
0 qid:36 1:0.014184397163120567 2:0.014184397163120567 3:3.945041625120447e-08 4:1 5:2.781254345709915e-06 6:0 7:0 8:0 9:0.0 10:5.06201191835 11:0.013333333333333334 #8SNTgOULgrA
0 qid:6849 1:0.014184397163120567 2:0.014184397163120567 3:1.9420571706674015e-07 4:1 5:1.369150305320518e-05 6:1 7:1.3388401785714283 8:1 9:1.3388401785714283 10:6.68469505753 11:0.07142857142857142 #8SNTgOULgrA
0 qid:4803 1:0.014184397163120567 2:0.014184397163120567 3:2.3952038438231285e-07 4:1 5:1.6886187098953054e-05 6:0 7:0 8:0 9:0.0 10:6.82779590117 11:0.08333333333333333 #8SNTgOULgrA
0 qid:4676 1:0.014184397163120567 2:0.014184397163120567 3:2.9501044410724746e-07 4:1 5:2.079823630956095e-05 6:0 7:0 8:0 9:0.0 10:6.90783860884 11:0.09090909090909091 #8SNTgOULgrA
0 qid:4291 1:0.014184397163120567 2:0.014184397163120567 3:1.5524469358112867e-07 4:1 5:1.0944750897469572e-05 6:0 7:0 8:0 9:0.0 10:6.44830627947 11:0.05555555555555555 #8SNTgOULgrA
0 qid:39119 1:0.014184397163120567 2:0.014184397163120567 3:1.8629363229735441e-06 4:1 5:0.00013133701076963486 6:0 7:0 8:0 9:0.0 10:8.29413296996 11:0.5 #8SNTgOULgrA
0 qid:1618 1:0.014184397163120567 2:0.014184397163120567 3:8.067246306381026e-08 4:1 5:5.687408645998623e-06 6:0 7:0 8:0 9:0.0 10:5.60855562471 11:0.023255813953488372 #8SNTgOULgrA
0 qid:858 1:0.014184397163120567 2:0.014184397163120567 3:1.0479016816726187e-06 4:1 5:7.387706855791962e-05 6:0 7:0 8:0 9:0.0 10:8.00645089751 11:0.3333333333333333 #8SNTgOULgrA
0 qid:23906 1:0.014184397163120567 2:0.014184397163120567 3:8.383213453380949e-07 4:1 5:5.9101654846335695e-05 6:0 7:0 8:0 9:0.0 10:7.7833073462 11:0.25 #8SNTgOULgrA
0 qid:2406 1:0.014184397163120567 2:0.014184397163120567 3:2.0958033633452375e-07 4:1 5:1.4775413711583925e-05 6:0 7:0 8:0 9:0.0 10:6.82779590117 11:0.08333333333333333 #8SNTgOULgrA
0 qid:9715 1:0.014184397163120567 2:0.014184397163120567 3:1.9841925333446035e-07 4:1 5:1.3988557360079456e-05 6:0 7:0 8:0 9:0.0 10:6.75368792902 11:0.07692307692307693 #8SNTgOULgrA
0 qid:37748 1:0.014184397163120567 2:0.014184397163120567 3:1.5242206278874454e-06 4:1 5:0.0001074575542660649 6:0 7:0 8:0 9:0.0 10:8.29413296996 11:0.5 #8SNTgOULgrA
0 qid:4469 1:0.014184397163120567 2:0.014184397163120567 3:1.3875663646975368e-07 4:1 5:9.782342871117634e-06 6:0 7:0 8:0 9:0.0 10:5.99154787697 11:0.034482758620689655 #8SNTgOULgrA
0 qid:62585 1:0.014184397163120567 2:0.014184397163120567 3:8.824435214085209e-07 4:1 5:6.221226825930073e-05 6:0 7:0 8:0 9:0.0 10:8.00645089751 11:0.3333333333333333 #8SNTgOULgrA
0 qid:27133 1:0.014184397163120567 2:0.014184397163120567 3:4.836469300027471e-07 4:1 5:3.4097108565193675e-05 6:0 7:0 8:0 9:0.0 10:7.1955206813 11:0.125 #8SNTgOULgrA
0 qid:3351 1:0.13043478260869565 2:0.13043478260869565 3:0.00025777625021481353 4:1 5:0.001976284584980237 6:0 7:0 8:0 9:0.0 10:6.90783860884 11:0.09090909090909091 #y8TOGxgAEnc
0 qid:15678 1:0.08695652173913043 2:0.08695652173913043 3:0.0006301197227473219 4:1 5:0.007246376811594202 6:0 7:0 8:0 9:0.0 10:8.29413296996 11:0.5 #y8TOGxgAEnc
0 qid:3103 1:0.2 2:0.2 3:0.0004000000000000001 4:1 5:0.002 6:0 7:0 8:0 9:0.0 10:6.99484998583 11:0.1 #4nL4Q91PgSY
0 qid:2212 1:0.16 2:0.16 3:0.0001422222222222222 4:1 5:0.0008888888888888888 6:0 7:0 8:0 9:0.0 10:6.62015653639 11:0.06666666666666667 #4nL4Q91PgSY
0 qid:7437 1:0.16 2:0.16 3:0.00010666666666666668 4:1 5:0.0006666666666666666 6:0 7:0 8:0 9:0.0 10:6.82779590117 11:0.08333333333333333 #4nL4Q91PgSY
0 qid:33717 1:0.16 2:0.16 3:0.00022857142857142857 4:1 5:0.0014285714285714286 6:0 7:0 8:0 9:0.0 10:7.31330371695 11:0.14285714285714285 #4nL4Q91PgSY
0 qid:6848 1:0.12 2:0.12 3:6.153846153846154e-05 4:1 5:0.0005128205128205128 6:0 7:0 8:0 9:0.0 10:6.75368792902 11:0.07692307692307693 #4nL4Q91PgSY
0 qid:1834 1:0.12 2:0.12 3:4.0336134453781504e-05 4:1 5:0.0003361344537815126 6:0 7:0 8:0 9:0.0 10:6.50237350074 11:0.058823529411764705 #4nL4Q91PgSY
0 qid:12940 1:0.12 2:0.12 3:0.00010666666666666667 4:1 5:0.0008888888888888888 6:0 7:0 8:0 9:0.0 10:7.6009857894 11:0.2 #4nL4Q91PgSY
0 qid:949 1:0.12 2:0.12 3:4e-05 4:1 5:0.0003333333333333333 6:0 7:0 8:0 9:0.0 10:6.62015653639 11:0.06666666666666667 #4nL4Q91PgSY
0 qid:15713 1:0.08 2:0.08 3:4.4444444444444447e-05 4:1 5:0.0005555555555555554 6:0 7:0 8:0 9:0.0 10:7.44683510958 11:0.16666666666666666 #4nL4Q91PgSY
0 qid:5291 1:0.08 2:0.08 3:6.400000000000001e-05 4:1 5:0.0008 6:0 7:0 8:0 9:0.0 10:7.6009857894 11:0.2 #4nL4Q91PgSY
0 qid:25678 1:0.08 2:0.08 3:0.00014545454545454546 4:1 5:0.0018181818181818182 6:0 7:0 8:0 9:0.0 10:8.29413296996 11:0.5 #4nL4Q91PgSY
0 qid:68682 1:0.08 2:0.08 3:0.00010666666666666667 4:1 5:0.0013333333333333333 6:0 7:0 8:0 9:0.0 10:8.29413296996 11:0.5 #4nL4Q91PgSY
0 qid:24239 1:0.08 2:0.08 3:3.7647058823529415e-05 4:1 5:0.00047058823529411766 6:0 7:0 8:0 9:0.0 10:7.6009857894 11:0.2 #4nL4Q91PgSY
0 qid:3219 1:0.08 2:0.08 3:4.923076923076924e-05 4:1 5:0.0006153846153846154 6:0 7:0 8:0 9:0.0 10:7.6009857894 11:0.2 #4nL4Q91PgSY
0 qid:30163 1:0.08 2:0.08 3:7.619047619047618e-05 4:1 5:0.0009523809523809523 6:0 7:0 8:0 9:0.0 10:8.00645089751 11:0.3333333333333333 #4nL4Q91PgSY
0 qid:7318 1:0.08 2:0.08 3:0.0001 4:1 5:0.00125 6:0 7:0 8:0 9:0.0 10:8.29413296996 11:0.5 #4nL4Q91PgSY
0 qid:13843 1:0.25 2:0.3833333333333333 3:0.0006396198830409356 4:2 5:0.005116959064327485 6:0 7:0 8:0 9:0.0 10:7.44683510958 11:0.16666666666666666 #RdiFpVvKePw
0 qid:15540 1:0.10752688172043011 2:0.10752688172043011 3:4.8175126218830694e-05 4:1 5:0.00044802867383512545 6:1 7:1.1561628282901595 8:2 9:2.312325656580319 10:6.82779590117 11:0.08333333333333333 #jL0BXwnkx3g
0 qid:1869 1:0.06451612903225806 2:0.06451612903225806 3:7.226268932824604e-06 4:1 5:0.00011200716845878136 6:0 7:0 8:0 9:0.0 10:5.89623769716 11:0.03125 #jL0BXwnkx3g
0 qid:1868 1:0.043010752688172046 2:0.043010752688172046 3:3.72968719113528e-06 4:1 5:8.671522719389525e-05 6:0 7:0 8:0 9:0.0 10:5.92700935583 11:0.03225806451612903 #jL0BXwnkx3g
0 qid:453 1:0.03225806451612903 2:0.03225806451612903 3:1.2085745950368676e-06 4:1 5:3.74658124461429e-05 6:0 7:0 8:0 9:0.0 10:5.65507564035 11:0.024390243902439025 #jL0BXwnkx3g
0 qid:871 1:0.03225806451612903 2:0.03225806451612903 3:4.100010742028144e-07 4:1 5:1.2710033300287246e-05 6:0 7:0 8:0 9:0.0 10:4.43691820103 11:0.0070921985815602835 #jL0BXwnkx3g
0 qid:1787 1:0.03225806451612903 2:0.03225806451612903 3:4.080716573830365e-06 4:1 5:0.0001265022137887413 6:0 7:0 8:0 9:0.0 10:6.50237350074 11:0.058823529411764705 #jL0BXwnkx3g
0 qid:5 1:0.021505376344086023 2:0.021505376344086023 3:7.248921813491768e-07 4:1 5:3.3707486432736716e-05 6:0 7:0 8:0 9:0.0 10:5.99154787697 11:0.034482758620689655 #jL0BXwnkx3g
0 qid:9875 1:0.021505376344086023 2:0.021505376344086023 3:2.3124060585038743e-06 4:1 5:0.00010752688172043013 6:0 7:0 8:0 9:0.0 10:6.99484998583 11:0.1 #jL0BXwnkx3g
0 qid:24 1:0.021505376344086023 2:0.021505376344086023 3:2.6763959010461495e-07 4:1 5:1.2445240939864594e-05 6:0 7:0 8:0 9:0.0 10:5.78182734599 11:0.027777777777777776 #jL0BXwnkx3g
0 qid:7070 1:0.021505376344086023 2:0.021505376344086023 3:9.361967848193821e-07 4:1 5:4.353315049410126e-05 6:0 7:0 8:0 9:0.0 10:6.39701298508 11:0.05263157894736842 #jL0BXwnkx3g
0 qid:3771 1:0.021505376344086023 2:0.021505376344086023 3:1.0510936629563062e-06 4:1 5:4.887585532746823e-05 6:0 7:0 8:0 9:0.0 10:6.90783860884 11:0.09090909090909091 #jL0BXwnkx3g
0 qid:1870 1:0.021505376344086023 2:0.021505376344086023 3:1.4823115759640215e-06 4:1 5:6.892748828232699e-05 6:0 7:0 8:0 9:0.0 10:6.75368792902 11:0.07692307692307693 #jL0BXwnkx3g
0 qid:5328 1:0.021505376344086023 2:0.021505376344086023 3:1.3522842447391074e-06 4:1 5:6.288121738036849e-05 6:0 7:0 8:0 9:0.0 10:6.39701298508 11:0.05263157894736842 #jL0BXwnkx3g
0 qid:2768 1:0.021505376344086023 2:0.021505376344086023 3:3.083208078005165e-07 4:1 5:1.4336917562724016e-05 6:0 7:0 8:0 9:0.0 10:5.46091962591 11:0.02 #jL0BXwnkx3g
0 qid:4563 1:0.021505376344086023 2:0.021505376344086023 3:4.3795569289846095e-07 4:1 5:2.0364939719778433e-05 6:0 7:0 8:0 9:0.0 10:5.86638473402 11:0.030303030303030304 #jL0BXwnkx3g
0 qid:852 1:0.021505376344086023 2:0.021505376344086023 3:6.72211063518568e-07 4:1 5:3.125781445361341e-05 6:0 7:0 8:0 9:0.0 10:5.60855562471 11:0.023255813953488372 #jL0BXwnkx3g
0 qid:14548 1:0.021505376344086023 2:0.021505376344086023 3:1.5213197753314959e-06 4:1 5:7.074136955291455e-05 6:0 7:0 8:0 9:0.0 10:7.1955206813 11:0.125 #jL0BXwnkx3g
0 qid:467 1:0.021505376344086023 2:0.021505376344086023 3:1.6435011076786593e-07 4:1 5:7.642280150705766e-06 6:0 7:0 8:0 9:0.0 10:5.17323755346 11:0.014925373134328358 #jL0BXwnkx3g
0 qid:728 1:0.021505376344086023 2:0.021505376344086023 3:7.137055736123066e-07 4:1 5:3.318730917297225e-05 6:0 7:0 8:0 9:0.0 10:6.44830627947 11:0.05555555555555555 #jL0BXwnkx3g
0 qid:3305 1:0.021505376344086023 2:0.021505376344086023 3:6.801194289717277e-07 4:1 5:3.1625553447185334e-05 6:0 7:0 8:0 9:0.0 10:6.34822282091 11:0.05 #jL0BXwnkx3g
0 qid:3306 1:0.021505376344086023 2:0.021505376344086023 3:6.882160888404385e-07 4:1 5:3.200204813108039e-05 6:0 7:0 8:0 9:0.0 10:6.17386943376 11:0.041666666666666664 #jL0BXwnkx3g
0 qid:873 1:0.021505376344086023 2:0.021505376344086023 3:2.0609679665809928e-07 4:1 5:9.583501044601616e-06 6:0 7:0 8:0 9:0.0 10:5.44150154005 11:0.0196078431372549 #jL0BXwnkx3g
0 qid:874 1:0.021505376344086023 2:0.021505376344086023 3:1.595863394412611e-07 4:1 5:7.420764784018641e-06 6:0 7:0 8:0 9:0.0 10:5.23386217527 11:0.015873015873015872 #jL0BXwnkx3g
0 qid:876 1:0.021505376344086023 2:0.021505376344086023 3:1.9680051561735094e-07 4:1 5:9.151223976206818e-06 6:0 7:0 8:0 9:0.0 10:5.52154424772 11:0.02127659574468085 #jL0BXwnkx3g
0 qid:26572 1:0.3333333333333333 2:0.3333333333333333 3:0.0030864197530864196 4:1 5:0.009259259259259259 6:0 7:0 8:0 9:0.0 10:7.44683510958 11:0.16666666666666666 #zn5J3hQC2t4
0 qid:1235 1:0.2222222222222222 2:0.2222222222222222 3:0.0009144947416552353 4:1 5:0.004115226337448559 6:0 7:0 8:0 9:0.0 10:7.09016016564 11:0.1111111111111111 #zn5J3hQC2t4
0 qid:4892 1:0.2222222222222222 2:0.2222222222222222 3:0.0007716049382716049 4:1 5:0.003472222222222222 6:0 7:0 8:0 9:0.0 10:7.1955206813 11:0.125 #zn5J3hQC2t4
0 qid:4961 1:0.14285714285714285 2:0.14285714285714285 3:2.4295432458697762e-05 4:1 5:0.00017006802721088434 6:0 7:0 8:0 9:0.0 10:5.63154514294 11:0.023809523809523808 #zn5J3hQC2t4
0 qid:1344 1:0.10714285714285714 2:0.10714285714285714 3:7.086167800453514e-05 4:1 5:0.0006613756613756613 6:0 7:0 8:0 9:0.0 10:7.09016016564 11:0.1111111111111111 #zn5J3hQC2t4
0 qid:4162 1:0.07142857142857142 2:0.07142857142857142 3:1.822157434402332e-05 4:1 5:0.0002551020408163265 6:0 7:0 8:0 9:0.0 10:6.34822282091 11:0.05 #zn5J3hQC2t4
0 qid:176 1:0.07142857142857142 2:0.07142857142857142 3:1.51846452866861e-05 4:1 5:0.0002125850340136054 6:0 7:0 8:0 9:0.0 10:6.30170280527 11:0.047619047619047616 #zn5J3hQC2t4
0 qid:5523 1:0.07142857142857142 2:0.07142857142857142 3:1.4918248000954767e-05 4:1 5:0.00020885547201336674 6:0 7:0 8:0 9:0.0 10:6.39701298508 11:0.05263157894736842 #zn5J3hQC2t4
0 qid:22565 1:0.125 2:0.125 3:0.0009765625 4:1 5:0.0078125 6:0 7:0 8:0 9:0.0 10:7.7833073462 11:0.25 #P-lMHxleCmw
0 qid:4348 1:0.0975609756097561 2:0.0975609756097561 3:0.00010816072684008437 4:1 5:0.0011086474501108647 6:0 7:0 8:0 9:0.0 10:6.90783860884 11:0.09090909090909091 #K1Bd_CBj9u0
0 qid:5 1:0.07317073170731707 2:0.07317073170731707 3:1.2307944778354428e-05 4:1 5:0.00016820857863751053 6:0 7:0 8:0 9:0.0 10:5.99154787697 11:0.034482758620689655 #K1Bd_CBj9u0
0 qid:5222 1:0.07317073170731707 2:0.07317073170731707 3:0.0001189767995240928 4:1 5:0.0016260162601626018 6:0 7:0 8:0 9:0.0 10:7.6009857894 11:0.2 #K1Bd_CBj9u0
0 qid:1509 1:0.07317073170731707 2:0.07317073170731707 3:3.198301062475613e-06 4:1 5:4.371011452050005e-05 6:0 7:0 8:0 9:0.0 10:4.84945047636 11:0.010752688172043012 #K1Bd_CBj9u0
0 qid:1869 1:0.07317073170731707 2:0.07317073170731707 3:1.3942593694229625e-05 4:1 5:0.00019054878048780488 6:0 7:0 8:0 9:0.0 10:5.89623769716 11:0.03125 #K1Bd_CBj9u0
0 qid:3305 1:0.04878048780487805 2:0.04878048780487805 3:7.436049970255802e-06 4:1 5:0.00015243902439024393 6:0 7:0 8:0 9:0.0 10:6.34822282091 11:0.05 #K1Bd_CBj9u0
0 qid:33900 1:0.04878048780487805 2:0.04878048780487805 3:6.609822195782933e-05 4:1 5:0.0013550135501355014 6:0 7:0 8:0 9:0.0 10:8.29413296996 11:0.5 #K1Bd_CBj9u0
0 qid:1870 1:0.04878048780487805 2:0.04878048780487805 3:1.3074373574076132e-05 4:1 5:0.0002680246582685607 6:0 7:0 8:0 9:0.0 10:6.75368792902 11:0.07692307692307693 #K1Bd_CBj9u0
0 qid:1788 1:0.04878048780487805 2:0.04878048780487805 3:7.93178663493952e-06 4:1 5:0.00016260162601626016 6:0 7:0 8:0 9:0.0 10:6.62015653639 11:0.06666666666666667 #K1Bd_CBj9u0
0 qid:7121 1:0.1875 2:0.1875 3:0.00017755681818181816 4:1 5:0.000946969696969697 6:0 7:0 8:0 9:0.0 10:6.90783860884 11:0.09090909090909091 #IvjnntmtnzU
0 qid:7312 1:0.125 2:0.125 3:9.645061728395061e-05 4:1 5:0.0007716049382716049 6:0 7:0 8:0 9:0.0 10:7.09016016564 11:0.1111111111111111 #IvjnntmtnzU
0 qid:8141 1:0.125 2:0.125 3:0.00010850694444444444 4:1 5:0.0008680555555555555 6:0 7:0 8:0 9:0.0 10:7.44683510958 11:0.16666666666666666 #IvjnntmtnzU
0 qid:7308 1:0.10416666666666667 2:0.10416666666666667 3:8.680555555555557e-05 4:1 5:0.0008333333333333334 6:0 7:0 8:0 9:0.0 10:7.6009857894 11:0.2 #IvjnntmtnzU
0 qid:7309 1:0.08333333333333333 2:0.08333333333333333 3:5.787037037037036e-05 4:1 5:0.0006944444444444444 6:0 7:0 8:0 9:0.0 10:7.6009857894 11:0.2 #IvjnntmtnzU
0 qid:5347 1:0.0625 2:0.0625 3:4.552738927738928e-06 4:1 5:7.284382284382284e-05 6:0 7:0 8:0 9:0.0 10:6.2572510427 11:0.045454545454545456 #IvjnntmtnzU
0 qid:6215 1:0.0625 2:0.0625 3:2.959280303030303e-05 4:1 5:0.0004734848484848485 6:0 7:0 8:0 9:0.0 10:7.7833073462 11:0.25 #IvjnntmtnzU
0 qid:7306 1:0.0625 2:0.0625 3:4.8225308641975306e-05 4:1 5:0.0007716049382716049 6:0 7:0 8:0 9:0.0 10:8.00645089751 11:0.3333333333333333 #IvjnntmtnzU
